Participant,Rater Code,Count,Unusable,Gender,Sex_Orient,SD_Sex_Orient,Rom_Rel,Age,Ethnicity,Col_Blind,Vis_Impair,Experimenter,FirstBlock,BlockOne,Label,TargetNum,StimSeat,StimGender,StimulusType,OrientationMatch,Rating
1,C001,1,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_DE,002C,2,0,4,1,8
1,C001,2,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_DEwithAudio,002C,2,0,6,1,7
1,C001,3,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_DN,002C,2,0,3,1,7
1,C001,4,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_DNwithAudio,002C,2,0,5,1,8
1,C001,5,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_SE,002C,2,0,2,1,6
1,C001,6,0,1,4,,1,18,5,2,2,1,5,1,G002C_F_SN,002C,2,0,1,1,7
1,C001,7,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_DE,003B,1,0,4,1,8
1,C001,8,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_DEwithAudio,003B,1,0,6,1,9
1,C001,9,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_DN,003B,1,0,3,1,7
1,C001,10,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_DNwithAudio,003B,1,0,5,1,6
1,C001,11,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_SE,003B,1,0,2,1,7
1,C001,12,0,1,4,,1,18,5,2,2,1,5,1,G003B_F_SN,003B,1,0,1,1,6
1,C001,13,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_DE,017C,2,0,4,1,8
1,C001,14,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_DEwithAudio,017C,2,0,6,1,7
1,C001,15,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_DN,017C,2,0,3,1,7
1,C001,16,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_DNwithAudio,017C,2,0,5,1,7
1,C001,17,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_SE,017C,2,0,2,1,8
1,C001,18,0,1,4,,1,18,5,2,2,1,5,1,G017C_F_SN,017C,2,0,1,1,7
1,C001,19,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_DE,022A,0,1,4,0,5
1,C001,20,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_DEwithAudio,022A,0,1,6,0,5
1,C001,21,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_DN,022A,0,1,3,0,4
1,C001,22,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_DNwithAudio,022A,0,1,5,0,4
1,C001,23,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_SE,022A,0,1,2,0,5
1,C001,24,0,1,4,,1,18,5,2,2,1,5,1,G022A_M_SN,022A,0,1,1,0,6
1,C001,25,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_DE,022B,1,1,4,0,7
1,C001,26,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_DEwithAudio,022B,1,1,6,0,6
1,C001,27,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_DN,022B,1,1,3,0,6
1,C001,28,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_DNwithAudio,022B,1,1,5,0,6
1,C001,29,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_SE,022B,1,1,2,0,5
1,C001,30,0,1,4,,1,18,5,2,2,1,5,1,G022B_M_SN,022B,1,1,1,0,5
1,C001,31,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_DE,046A,0,1,4,0,7
1,C001,32,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_DEwithAudio,046A,0,1,6,0,7
1,C001,33,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_DN,046A,0,1,3,0,7
1,C001,34,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_DNwithAudio,046A,0,1,5,0,5
1,C001,35,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_SE,046A,0,1,2,0,7
1,C001,36,0,1,4,,1,18,5,2,2,1,5,1,G046A_M_SN,046A,0,1,1,0,7
1,C001,37,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_DE,052A,0,1,4,0,7
1,C001,38,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_DEwithAudio,052A,0,1,6,0,8
1,C001,39,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_DN,052A,0,1,3,0,6
1,C001,40,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_DNwithAudio,052A,0,1,5,0,7
1,C001,41,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_SE,052A,0,1,2,0,7
1,C001,42,0,1,4,,1,18,5,2,2,1,5,0,G052A_M_SN,052A,0,1,1,0,5
1,C001,43,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_DE,054A,0,0,4,1,8
1,C001,44,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_DEwithAudio,054A,0,0,6,1,8
1,C001,45,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_DN,054A,0,0,3,1,6
1,C001,46,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_DNwithAudio,054A,0,0,5,1,7
1,C001,47,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_SE,054A,0,0,2,1,6
1,C001,48,0,1,4,,1,18,5,2,2,1,5,0,G054A_F_SN,054A,0,0,1,1,6
1,C001,49,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DE,054B,1,1,4,0,4
1,C001,50,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DEwithAudio,054B,1,1,6,0,4
1,C001,51,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DN,054B,1,1,3,0,6
1,C001,52,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DNwithAudio,054B,1,1,5,0,5
1,C001,53,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_SE,054B,1,1,2,0,4
1,C001,54,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_SN,054B,1,1,1,0,6
1,C001,55,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DE,062C,2,0,4,1,6
1,C001,56,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DEwithAudio,062C,2,0,6,1,6
1,C001,57,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DN,062C,2,0,3,1,4
1,C001,58,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DNwithAudio,062C,2,0,5,1,7
1,C001,59,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_SE,062C,2,0,2,1,5
1,C001,60,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_SN,062C,2,0,1,1,5
1,C001,61,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DE,067B,1,0,4,1,8
1,C001,62,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DEwithAudio,067B,1,0,6,1,8
1,C001,63,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DN,067B,1,0,3,1,7
1,C001,64,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DNwithAudio,067B,1,0,5,1,7
1,C001,65,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_SE,067B,1,0,2,1,8
1,C001,66,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_SN,067B,1,0,1,1,7
1,C001,67,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DE,067C,2,1,4,0,6
1,C001,68,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DEwithAudio,067C,2,1,6,0,5
1,C001,69,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DN,067C,2,1,3,0,5
1,C001,70,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DNwithAudio,067C,2,1,5,0,5
1,C001,71,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_SE,067C,2,1,2,0,4
