Image,Rater,Positive,Negative
1,1,4,0
1,2,5,0
1,3,4,0
1,4,4,0
1,5,5,0
2,1,0,0
2,2,0,1
2,3,0,1
2,4,0,0
2,5,0,0
3,1,4,1
3,2,1,1
3,3,1,0
3,4,3,0
3,5,2,1
4,1,1,0
4,2,1,2
4,3,4,4
4,4,0,2
4,5,0,3
5,1,1,0
5,2,0,0
5,3,3,0
5,4,2,0
5,5,3,0
6,1,2,0
6,2,3,0
6,3,3,0
6,4,0,0
6,5,0,1
7,1,2,0
7,2,0,0
7,3,5,0
7,4,3,1
7,5,4,1
8,1,0,3
8,2,0,2
8,3,1,2
8,4,0,3
8,5,0,2
9,1,4,0
9,2,4,0
9,3,5,0
9,4,5,0
9,5,2,0
10,1,4,0
10,2,2,0
10,3,3,0
10,4,4,0
10,5,3,0
11,1,0,0
11,2,0,2
11,3,NA,NA
11,4,NA,NA
11,5,NA,NA
12,1,1,1
12,2,3,0
12,3,NA,NA
12,4,NA,NA
12,5,NA,NA
13,1,4,0
13,2,3,0
13,3,NA,NA
13,4,NA,NA
13,5,NA,NA
14,1,4,0
14,2,2,0
14,3,NA,NA
14,4,NA,NA
14,5,NA,NA
15,1,4,0
15,2,5,0
15,3,NA,NA
15,4,NA,NA
15,5,NA,NA
16,1,3,0
16,2,3,0
16,3,NA,NA
16,4,NA,NA
16,5,NA,NA
17,1,3,0
17,2,2,1
17,3,NA,NA
17,4,NA,NA
17,5,NA,NA
18,1,0,0
18,2,4,1
18,3,NA,NA
18,4,NA,NA
18,5,NA,NA
19,1,4,0
19,2,3,0
19,3,NA,NA
19,4,NA,NA
19,5,NA,NA
20,1,3,0
20,2,3,0
20,3,NA,NA
20,4,NA,NA
20,5,NA,NA
21,1,0,0
21,2,NA,NA
21,3,2,0
21,4,NA,NA
21,5,NA,NA
22,1,1,1
22,2,NA,NA
22,3,0,1
22,4,NA,NA
22,5,NA,NA
23,1,1,0
23,2,NA,NA
23,3,1,0
23,4,NA,NA
23,5,NA,NA
24,1,1,0
24,2,NA,NA
24,3,3,0
24,4,NA,NA
24,5,NA,NA
25,1,1,1
25,2,NA,NA
25,3,1,0
25,4,NA,NA
25,5,NA,NA
26,1,3,0
26,2,NA,NA
26,3,1,2
26,4,NA,NA
26,5,NA,NA
27,1,3,1
27,2,NA,NA
27,3,3,0
27,4,NA,NA
27,5,NA,NA
28,1,2,0
28,2,NA,NA
28,3,0,1
28,4,NA,NA
28,5,NA,NA
29,1,0,3
29,2,NA,NA
29,3,1,0
29,4,NA,NA
29,5,NA,NA
30,1,2,2
30,2,NA,NA
30,3,0,5
30,4,NA,NA
30,5,NA,NA
31,1,3,0
31,2,NA,NA
31,3,NA,NA
31,4,0,0
31,5,NA,NA
32,1,3,0
32,2,NA,NA
32,3,NA,NA
32,4,0,0
32,5,NA,NA
33,1,1,2
33,2,NA,NA
33,3,NA,NA
33,4,0,1
33,5,NA,NA
34,1,1,0
34,2,NA,NA
34,3,NA,NA
34,4,3,2
34,5,NA,NA
35,1,1,0
35,2,NA,NA
35,3,NA,NA
35,4,3,0
35,5,NA,NA
36,1,5,0
36,2,NA,NA
36,3,NA,NA
36,4,5,0
36,5,NA,NA
37,1,3,2
37,2,NA,NA
37,3,NA,NA
37,4,0,1
37,5,NA,NA
38,1,1,0
38,2,NA,NA
38,3,NA,NA
38,4,3,0
38,5,NA,NA
39,1,4,0
39,2,NA,NA
39,3,NA,NA
39,4,4,0
39,5,NA,NA
40,1,1,0
40,2,NA,NA
40,3,NA,NA
40,4,1,2
40,5,NA,NA
41,1,1,0
41,2,NA,NA
41,3,NA,NA
41,4,NA,NA
41,5,1,0
42,1,1,2
42,2,NA,NA
42,3,NA,NA
42,4,NA,NA
42,5,5,0
43,1,0,0
43,2,NA,NA
43,3,NA,NA
43,4,NA,NA
43,5,3,0
44,1,0,2
44,2,NA,NA
44,3,NA,NA
44,4,NA,NA
44,5,0,2
45,1,0,2
45,2,NA,NA
45,3,NA,NA
45,4,NA,NA
45,5,2,1
46,1,4,0
46,2,NA,NA
46,3,NA,NA
46,4,NA,NA
46,5,4,1
47,1,3,0
47,2,NA,NA
47,3,NA,NA
47,4,NA,NA
47,5,2,0
48,1,2,0
48,2,NA,NA
48,3,NA,NA
48,4,NA,NA
48,5,2,0
49,1,3,0
49,2,NA,NA
49,3,NA,NA
49,4,NA,NA
49,5,1,1
50,1,2,0
50,2,NA,NA
50,3,NA,NA
50,4,NA,NA
50,5,3,1
51,1,NA,NA
51,2,0,0
51,3,0,0
51,4,NA,NA
51,5,NA,NA
52,1,NA,NA
52,2,5,0
52,3,5,0
52,4,NA,NA
52,5,NA,NA
53,1,NA,NA
53,2,3,0
53,3,2,0
53,4,NA,NA
53,5,NA,NA
54,1,NA,NA
54,2,0,2
54,3,1,5
54,4,NA,NA
54,5,NA,NA
55,1,NA,NA
55,2,2,1
55,3,5,0
55,4,NA,NA
55,5,NA,NA
56,1,NA,NA
56,2,0,0
56,3,1,0
56,4,NA,NA
56,5,NA,NA
57,1,NA,NA
57,2,4,1
57,3,1,1
57,4,NA,NA
57,5,NA,NA
58,1,NA,NA
58,2,5,0
58,3,5,0
58,4,NA,NA
58,5,NA,NA
59,1,NA,NA
59,2,4,0
59,3,4,0
59,4,NA,NA
59,5,NA,NA
60,1,NA,NA
60,2,0,1
60,3,0,1
60,4,NA,NA
60,5,NA,NA
61,1,NA,NA
61,2,0,0
61,3,NA,NA
61,4,0,1
61,5,NA,NA
62,1,NA,NA
62,2,0,0
62,3,NA,NA
62,4,1,1
62,5,NA,NA
63,1,NA,NA
63,2,3,2
63,3,NA,NA
63,4,0,0
63,5,NA,NA
64,1,NA,NA
64,2,2,0
64,3,NA,NA
64,4,5,0
64,5,NA,NA
65,1,NA,NA
65,2,1,1
65,3,NA,NA
65,4,0,1
65,5,NA,NA
66,1,NA,NA
66,2,5,0
66,3,NA,NA
66,4,5,0
66,5,NA,NA
67,1,NA,NA
67,2,4,0
67,3,NA,NA
67,4,1,0
67,5,NA,NA
68,1,NA,NA
68,2,2,3
68,3,NA,NA
68,4,1,0
68,5,NA,NA
69,1,NA,NA
69,2,2,4
69,3,NA,NA
69,4,3,0
69,5,NA,NA
70,1,NA,NA
70,2,1,0
70,3,NA,NA
70,4,4,0
70,5,NA,NA
71,1,NA,NA
71,2,0,0
71,3,NA,NA
71,4,NA,NA
71,5,1,0
72,1,NA,NA
72,2,2,2
72,3,NA,NA
72,4,NA,NA
72,5,1,1
73,1,NA,NA
73,2,2,0
73,3,NA,NA
73,4,NA,NA
73,5,3,0
74,1,NA,NA
74,2,0,0
74,3,NA,NA
74,4,NA,NA
74,5,0,0
75,1,NA,NA
75,2,1,0
75,3,NA,NA
75,4,NA,NA
75,5,3,0
76,1,NA,NA
76,2,2,1
76,3,NA,NA
76,4,NA,NA
76,5,2,0
77,1,NA,NA
77,2,4,0
77,3,NA,NA
77,4,NA,NA
77,5,5,2
78,1,NA,NA
78,2,2,1
78,3,NA,NA
78,4,NA,NA
78,5,1,0
79,1,NA,NA
79,2,2,3
79,3,NA,NA
79,4,NA,NA
79,5,2,0
80,1,NA,NA
80,2,3,0
80,3,NA,NA
80,4,NA,NA
80,5,5,0
81,1,NA,NA
81,2,NA,NA
81,3,3,1
81,4,0,1
81,5,NA,NA
82,1,NA,NA
82,2,NA,NA
82,3,0,1
82,4,1,4
82,5,NA,NA
83,1,NA,NA
83,2,NA,NA
83,3,2,0
83,4,0,0
83,5,NA,NA
84,1,NA,NA
84,2,NA,NA
84,3,2,1
84,4,4,0
84,5,NA,NA
85,1,NA,NA
85,2,NA,NA
85,3,4,0
85,4,3,0
85,5,NA,NA
86,1,NA,NA
86,2,NA,NA
86,3,0,1
86,4,0,0
86,5,NA,NA
87,1,NA,NA
87,2,NA,NA
87,3,0,0
87,4,0,0
87,5,NA,NA
88,1,NA,NA
88,2,NA,NA
88,3,1,0
88,4,4,1
88,5,NA,NA
89,1,NA,NA
89,2,NA,NA
89,3,4,1
89,4,1,0
89,5,NA,NA
90,1,NA,NA
90,2,NA,NA
90,3,4,0
90,4,4,0
90,5,NA,NA
91,1,NA,NA
91,2,NA,NA
91,3,3,0
91,4,NA,NA
91,5,3,0
92,1,NA,NA
92,2,NA,NA
92,3,0,1
92,4,NA,NA
92,5,1,0
93,1,NA,NA
93,2,NA,NA
93,3,0,0
93,4,NA,NA
93,5,0,5
94,1,NA,NA
94,2,NA,NA
94,3,0,1
94,4,NA,NA
94,5,0,0
95,1,NA,NA
95,2,NA,NA
95,3,0,1
95,4,NA,NA
95,5,4,1
96,1,NA,NA
96,2,NA,NA
96,3,3,0
96,4,NA,NA
96,5,1,0
97,1,NA,NA
97,2,NA,NA
97,3,2,0
97,4,NA,NA
97,5,0,3
98,1,NA,NA
98,2,NA,NA
98,3,1,0
98,4,NA,NA
98,5,4,0
99,1,NA,NA
99,2,NA,NA
99,3,0,0
99,4,NA,NA
99,5,1,1
100,1,NA,NA
100,2,NA,NA
100,3,4,0
100,4,NA,NA
100,5,5,0
101,1,NA,NA
101,2,NA,NA
101,3,NA,NA
101,4,4,0
101,5,5,0
102,1,NA,NA
102,2,NA,NA
102,3,NA,NA
102,4,1,0
102,5,4,0
103,1,NA,NA
103,2,NA,NA
103,3,NA,NA
103,4,1,0
103,5,0,1
104,1,NA,NA
104,2,NA,NA
104,3,NA,NA
104,4,2,0
104,5,3,1
105,1,NA,NA
105,2,NA,NA
105,3,NA,NA
105,4,5,0
105,5,3,0
106,1,NA,NA
106,2,NA,NA
106,3,NA,NA
106,4,2,2
106,5,2,1
107,1,NA,NA
107,2,NA,NA
107,3,NA,NA
107,4,2,0
107,5,2,0
108,1,NA,NA
108,2,NA,NA
108,3,NA,NA
108,4,1,0
108,5,1,2
109,1,NA,NA
109,2,NA,NA
109,3,NA,NA
109,4,4,3
109,5,3,0
110,1,NA,NA
110,2,NA,NA
110,3,NA,NA
110,4,1,0
110,5,4,2
